"Date(UTC)","BurntFees"
"11/07/2021","1607.31186498527"
"11/08/2021","4555.17314844316"
"11/09/2021","2349.49696861907"
"11/10/2021","2777.29237743052"
"11/11/2021","1777.60136618928"
"11/12/2021","1774.56338123271"
"11/13/2021","5847.20833262455"
"11/14/2021","1916.93990689798"
"11/15/2021","2687.20606133995"
"11/16/2021","2973.99526102627"
"11/17/2021","4483.91407177656"
"11/18/2021","7707.99551592558"
"11/19/2021","2862.63403456236"
"11/20/2021","4230.0722703654"
"11/21/2021","6321.14122304505"
"11/22/2021","14276.8106423591"
"11/23/2021","10277.9132244565"
"11/24/2021","8379.72431890831"
"11/25/2021","8785.66203667237"
"11/26/2021","11021.3903012096"
"11/27/2021","2623.84096323727"
"11/28/2021","2899.4524756015"
"11/29/2021","4761.77605684058"
"11/30/2021","2921.8759509369"
"12/01/2021","2853.11962316684"
"12/02/2021","4905.17755841369"
"12/03/2021","4065.8689283191"
"12/04/2021","6834.71028680388"
"12/05/2021","2831.54913945025"
"12/06/2021","3730.04130073721"
"12/07/2021","3172.5205298032"
"12/08/2021","3873.89490343959"
"12/09/2021","3790.13783555876"
"12/10/2021","3623.86552485912"
"12/11/2021","3336.37675004908"
"12/12/2021","3796.93239945155"
"12/13/2021","7255.11218985932"
"12/14/2021","4782.73635736898"
"12/15/2021","3961.54793672698"
"12/16/2021","3633.28527321021"
"12/17/2021","4186.41361187329"
"12/18/2021","3415.1280985184"
"12/19/2021","3162.20328755386"
"12/20/2021","7368.52571615542"
"12/21/2021","4929.82682794659"
"12/22/2021","8197.17300946041"
"12/23/2021","4282.52672660239"
"12/24/2021","3427.3729915825"
"12/25/2021","2383.92791976176"
"12/26/2021","2679.86806683005"
"12/27/2021","3399.78744059835"
"12/28/2021","3618.36265140628"
"12/29/2021","3017.15391712686"
"12/30/2021","2848.17948726102"
"12/31/2021","2608.95135100551"
"01/01/2022","2383.61286533183"
"01/02/2022","3025.59041268632"
"01/03/2022","3773.04934090661"
"01/04/2022","3116.11512594075"
"01/05/2022","4107.41373201461"
"01/06/2022","3207.99283303498"
"01/07/2022","5418.53252573338"
"01/08/2022","3373.86604332331"
"01/09/2022","3082.25603691435"
"01/10/2022","3289.61630077394"
"01/11/2022","3293.39708030759"
"01/12/2022","3330.56218361183"
"01/13/2022","3176.68439142352"
"01/14/2022","3914.77138667793"
"01/15/2022","3718.44999210375"
"01/16/2022","4029.70193746094"
"01/17/2022","8903.37023586792"
"01/18/2022","3571.21749172648"
"01/19/2022","6165.98719464443"
"01/20/2022","3450.85760221202"
"01/21/2022","8448.9305269455"
"01/22/2022","5899.91530634277"
"01/23/2022","3513.50779255205"
"01/24/2022","4179.13220769475"
"01/25/2022","5120.46065040016"
"01/26/2022","6502.65608519409"
"01/27/2022","7197.8467939922"
"01/28/2022","3996.96110020056"
"01/29/2022","5086.7753724431"
"01/30/2022","4755.73764955216"
"01/31/2022","11555.2116868427"
"02/01/2022","4829.94739280322"
"02/02/2022","4946.35802549494"
"02/03/2022","4619.33500636902"
"02/04/2022","5610.43593691446"
"02/05/2022","4648.44101303156"
"02/06/2022","5553.04713257591"
"02/07/2022","8545.78080884606"
"02/08/2022","5813.54234778747"
"02/09/2022","6913.94368473577"
"02/10/2022","12477.9104886917"
"02/11/2022","7681.9049371935"
"02/12/2022","5284.16266697355"
"02/13/2022","5132.50387872651"
"02/14/2022","6729.89118783491"
"02/15/2022","7340.46559961232"
"02/16/2022","6325.32904574798"
"02/17/2022","6673.69992969667"
"02/18/2022","6499.99063449875"
"02/19/2022","12768.1853191762"
"02/20/2022","7608.94746996887"
"02/21/2022","7763.86509341763"
"02/22/2022","10705.1042996895"
"02/23/2022","6055.37611033895"
"02/24/2022","10736.7372693701"
"02/25/2022","8272.39674078625"
"02/26/2022","6469.25157216478"
"02/27/2022","8189.43902483799"
"02/28/2022","10141.7921002515"
"03/01/2022","12934.8794816506"
"03/02/2022","9607.13603094913"
"03/03/2022","8344.04104815242"
"03/04/2022","12448.7082395346"
"03/05/2022","7357.54729237001"
"03/06/2022","7762.8637698502"
"03/07/2022","7598.4460047774"
"03/08/2022","6077.33399789343"
"03/09/2022","6303.27696385454"
"03/10/2022","4923.93586002945"
"03/11/2022","8729.9355722393"
"03/12/2022","6547.78089952407"
"03/13/2022","8788.62066840569"
"03/14/2022","11788.2351140169"
"03/15/2022","11943.0954470296"
"03/16/2022","9358.54495738815"
"03/17/2022","11579.6213039066"
"03/18/2022","10154.9685868821"
"03/19/2022","8636.30398429244"
"03/20/2022","9611.74531142106"
"03/21/2022","11280.127491183"
"03/22/2022","11891.9072712174"
"03/23/2022","10921.4630190404"
"03/24/2022","9268.01786535766"
"03/25/2022","10111.9339614181"
"03/26/2022","5997.88785363793"
"03/27/2022","6378.20532145863"
"03/28/2022","13187.3191702097"
"03/29/2022","12488.4097435822"
"03/30/2022","11360.0767800469"
"03/31/2022","11374.8330493348"
"04/01/2022","10171.645554502"
"04/02/2022","9675.15155851748"
"04/03/2022","9674.67248562544"
"04/04/2022","12339.4972665246"
"04/05/2022","10055.8458949016"
"04/06/2022","11479.6314836159"
"04/07/2022","12711.6494768078"
"04/08/2022","11758.9265685057"
"04/09/2022","8560.27984386705"
"04/10/2022","13409.6072202073"
"04/11/2022","16804.7183358894"
"04/12/2022","13654.4444902596"
"04/13/2022","12089.609053158"
"04/14/2022","12377.8487532008"
"04/15/2022","18551.0425913221"
"04/16/2022","10332.2248546698"
"04/17/2022","8428.2609152447"
"04/18/2022","11355.4801026223"
"04/19/2022","12026.7290298483"
"04/20/2022","14082.3771318878"
"04/21/2022","12787.0573274242"
"04/22/2022","11256.8601030175"
"04/23/2022","10224.6588430114"
"04/24/2022","9587.63549760677"
"04/25/2022","11929.3712776439"
"04/26/2022","12174.86560491"
"04/27/2022","11791.1240137015"
"04/28/2022","8983.27225036218"
"04/29/2022","6597.69933096331"
"04/30/2022","7216.40426146779"
"05/01/2022","7402.42696626815"
"05/02/2022","10480.0392940157"
"05/03/2022","13647.7323866755"
"05/04/2022","14906.2214875577"
"05/05/2022","16965.9535027006"
"05/06/2022","14936.6954414468"
"05/07/2022","9383.73173836327"
"05/08/2022","7961.76851745898"
"05/09/2022","15082.718065639"
"05/10/2022","15673.5760432412"
"05/11/2022","29511.5251031592"
"05/12/2022","25170.0859132786"
"05/13/2022","10865.707841422"
"05/14/2022","3244.27058479982"
"05/15/2022","2643.56052521188"
"05/16/2022","2477.85390978277"
"05/17/2022","2174.00263091231"
"05/18/2022","2407.2221828082"
"05/19/2022","2388.70672778842"
"05/20/2022","2341.90200154236"
"05/21/2022","1615.33477665085"
"05/22/2022","1345.04831720586"
"05/23/2022","1639.65630037295"
"05/24/2022","1408.67746421513"
"05/25/2022","1433.1819028565"
"05/26/2022","1949.98945526726"
"05/27/2022","2179.44742206894"
"05/28/2022","1480.39686473027"
"05/29/2022","1235.66341948499"
"05/30/2022","1739.9557663183"
"05/31/2022","1577.37813989806"
"06/01/2022","1565.75804435141"
"06/02/2022","1501.50017362259"
"06/03/2022","1328.0492997575"
"06/04/2022","1028.36144795114"
"06/05/2022","1036.08392053379"
"06/06/2022","1408.7574482224"
"06/07/2022","1443.62164767095"
"06/08/2022","1205.23085742031"
"06/09/2022","1099.91807679941"
"06/10/2022","1402.73258367986"
"06/11/2022","1684.38240463521"
"06/12/2022","2044.22295762964"
"06/13/2022","6254.5102343589"
"06/14/2022","2635.67823812848"
"06/15/2022","3356.07973106446"
"06/16/2022","2244.97371306476"
"06/17/2022","1577.36576416602"
"06/18/2022","3232.29762741404"
"06/19/2022","2059.11367417976"
"06/20/2022","1819.59924624103"
"06/21/2022","1472.25682516115"
"06/22/2022","1390.87268482036"
"06/23/2022","1498.68581221487"
"06/24/2022","1930.80713607839"
"06/25/2022","1544.14290871047"
"06/26/2022","1306.80825045796"
"06/27/2022","1392.83551221682"
"06/28/2022","1434.08528696268"
"06/29/2022","1650.51590929342"
"06/30/2022","1766.8784495344"
"07/01/2022","1484.46016204279"
"07/02/2022","1285.033640345"
"07/03/2022","1292.79349161344"
"07/04/2022","1529.89660993022"
"07/05/2022","1330.51946045716"
"07/06/2022","1320.91560188922"
"07/07/2022","1387.55347475439"
"07/08/2022","1272.73588455092"
"07/09/2022","898.051737886122"
"07/10/2022","943.996920007957"
"07/11/2022","1179.95312817021"
"07/12/2022","1337.99637214645"
"07/13/2022","1403.94950839739"
"07/14/2022","1197.70055239619"
"07/15/2022","1182.10664385867"
"07/16/2022","1240.77903322518"
"07/17/2022","1042.37534950659"
"07/18/2022","1671.41873691087"
"07/19/2022","1638.57007681166"
"07/20/2022","1396.25526263801"
"07/21/2022","1216.79926942014"
"07/22/2022","1071.3148324303"
"07/23/2022","927.038644812214"
"07/24/2022","1087.09327307337"
"07/25/2022","1240.06818173844"
"07/26/2022","1131.25223252522"
"07/27/2022","1438.83704406932"
"07/28/2022","1358.03415041395"
"07/29/2022","1278.22259498125"
"07/30/2022","1130.85831873819"
"07/31/2022","1020.38942272922"
"08/01/2022","1132.31321356923"
"08/02/2022","1296.11006098748"
"08/03/2022","1264.3944035379"
"08/04/2022","1109.00433598048"
"08/05/2022","1120.73987435283"
"08/06/2022","1041.98759699471"
"08/07/2022","1136.51922076585"
"08/08/2022","1335.64763464572"
"08/09/2022","1107.95369577695"
"08/10/2022","1421.16568282187"
"08/11/2022","1232.27098455921"
"08/12/2022","1096.1359743202"
"08/13/2022","1022.43167638059"
"08/14/2022","936.865378458343"
"08/15/2022","1173.48922758701"
"08/16/2022","1126.47152466756"
"08/17/2022","1145.15867677963"
"08/18/2022","1085.71439720071"
"08/19/2022","1637.10567497191"
"08/20/2022","1061.13870040158"
"08/21/2022","996.966050105938"
"08/22/2022","1110.699800371"
"08/23/2022","1108.81823957208"
"08/24/2022","1010.88616934823"
"08/25/2022","983.954723287827"
"08/26/2022","1307.02761933585"
"08/27/2022","1048.45489093838"
"08/28/2022","1050.13058235813"
"08/29/2022","1278.63623630822"
"08/30/2022","1313.57948259614"
"08/31/2022","1294.27285579478"
"09/01/2022","1129.17342740553"
"09/02/2022","1118.40515497214"
"09/03/2022","811.864680561376"
"09/04/2022","863.820272576518"
"09/05/2022","975.729664197044"
"09/06/2022","1315.32676181978"
"09/07/2022","1110.53798206553"
"09/08/2022","1046.09581710476"
"09/09/2022","1255.44123413809"
"09/10/2022","1050.90264271062"
"09/11/2022","936.238424438925"
"09/12/2022","1374.55628008339"
"09/13/2022","1636.64078792397"
"09/14/2022","1166.03215485483"
"09/15/2022","1320.1888821988"
"09/16/2022","1089.75247658985"
"09/17/2022","985.078599389302"
"09/18/2022","1552.0755619264"
"09/19/2022","1263.41612852781"
"09/20/2022","962.366329187832"
"09/21/2022","1549.49336545299"
