Date(UTC),UnixTimeStamp,Gas Used nAvax,Month,Year,Transactions,Gas Used Avax,,,,,,,,,
3/18/21,1616025600,2054505263,March,2021,17480,2.054505263,,,,,,,,,
3/19/21,1616112000,2529671442,March,2021,23842,2.529671442,,,,,,,,,
3/20/21,1616198400,2479479940,March,2021,22371,2.47947994,,,,,,,,,
3/21/21,1616284800,1594410342,March,2021,13914,1.594410342,,,,,,,,,
3/22/21,1616371200,2647538745,March,2021,19565,2.647538745,,,,,,,,,
3/23/21,1616457600,1933467173,March,2021,16711,1.933467173,,,,,,,,,
3/24/21,1616544000,1187808250,March,2021,11741,1.18780825,,,,,,,,,
3/25/21,1616630400,1028325706,March,2021,9599,1.028325706,,,,,,,,,
3/26/21,1616716800,945192216,March,2021,9313,0.945192216,,,,,,,,,
3/27/21,1616803200,1035859921,March,2021,11313,1.035859921,,,,,,,,,
3/28/21,1616889600,8518283603,March,2021,80139,8.518283603,,,,,,,,,
3/29/21,1616976000,3544497090,March,2021,26437,3.54449709,,,,,,,,,
3/30/21,1617062400,2347320640,March,2021,18650,2.34732064,,,,,,,,,
3/31/21,1617148800,2258692150,March,2021,15183,2.25869215,,,,,,,,,
4/1/21,1617235200,6359078603,April,2021,45381,6.359078603,,,,,,,,,
4/2/21,1617321600,3947217173,April,2021,26810,3.947217173,,,,,,,,,
4/3/21,1617408000,2955906891,April,2021,19502,2.955906891,,,,,,,,,
4/4/21,1617494400,2378175929,April,2021,17071,2.378175929,,,,,,,,,
4/5/21,1617580800,3356631298,April,2021,23584,3.356631298,,,,,,,,,
4/6/21,1617667200,3173840673,April,2021,21920,3.173840673,,,,,,,,,
4/7/21,1617753600,2834198242,April,2021,17951,2.834198242,,,,,,,,,
4/8/21,1617840000,2706138389,April,2021,17127,2.706138389,,,,,,,,,
4/9/21,1617926400,2038758124,April,2021,13700,2.038758124,,,,,,,,,
4/10/21,1618012800,1835011630,April,2021,12455,1.83501163,,,,,,,,,
4/11/21,1618099200,1326105590,April,2021,9668,1.32610559,,,,,,,,,
4/12/21,1618185600,1840851117,April,2021,12942,1.840851117,,,,,,,,,
4/13/21,1618272000,1522699519,April,2021,10703,1.522699519,,,,,,,,,
4/14/21,1618358400,2219084998,April,2021,15514,2.219084998,,,,,,,,,
4/15/21,1618444800,1896279019,April,2021,12826,1.896279019,,,,,,,,,
4/16/21,1618531200,1482139777,April,2021,9437,1.482139777,,,,,,,,,
4/17/21,1618617600,1529143436,April,2021,9787,1.529143436,,,,,,,,,
4/18/21,1618704000,2264678755,April,2021,14453,2.264678755,,,,,,,,,
4/19/21,1618790400,2693836116,April,2021,16993,2.693836116,,,,,,,,,
4/20/21,1618876800,4386256820,April,2021,31353,4.38625682,,,,,,,,,
4/21/21,1618963200,4295705747,April,2021,27505,4.295705747,,,,,,,,,
4/22/21,1619049600,3913748659,April,2021,22141,3.913748659,,,,,,,,,
4/23/21,1619136000,3074876830,April,2021,18371,3.07487683,,,,,,,,,
4/24/21,1619222400,2023033501,April,2021,12530,2.023033501,,,,,,,,,
4/25/21,1619308800,2012273821,April,2021,13035,2.012273821,,,,,,,,,
4/26/21,1619395200,2044158975,April,2021,13404,2.044158975,,,,,,,,,
4/27/21,1619481600,1797739156,April,2021,11859,1.797739156,,,,,,,,,
4/28/21,1619568000,2834427904,April,2021,20301,2.834427904,,,,,,,,,
4/29/21,1619654400,2848292422,April,2021,21479,2.848292422,,,,,,,,,
4/30/21,1619740800,6344464870,April,2021,50587,6.34446487,,,,,,,,,
5/1/21,1619827200,9937622151,May,2021,78515,9.937622151,,,,,,,,,
5/2/21,1619913600,6422066150,May,2021,44524,6.42206615,,,,,,,,,
5/3/21,1620000000,8515679242,May,2021,61887,8.515679242,,,,,,,,,
5/4/21,1620086400,6017013528,May,2021,42169,6.017013528,,,,,,,,,
5/5/21,1620172800,5512293026,May,2021,37221,5.512293026,,,,,,,,,
5/6/21,1620259200,6521542518,May,2021,44401,6.521542518,,,,,,,,,
5/7/21,1620345600,7698404502,May,2021,51089,7.698404502,,,,,,,,,
5/8/21,1620432000,6417007655,May,2021,41435,6.417007655,,,,,,,,,
5/9/21,1620518400,6027758329,May,2021,37241,6.027758329,,,,,,,,,
5/10/21,1620604800,6079740410,May,2021,38548,6.07974041,,,,,,,,,
5/11/21,1620691200,5432121688,May,2021,36341,5.432121688,,,,,,,,,
5/12/21,1620777600,6010510057,May,2021,41909,6.010510057,,,,,,,,,
5/13/21,1620864000,5908367968,May,2021,47253,5.908367968,,,,,,,,,
5/14/21,1620950400,7803581490,May,2021,67672,7.80358149,,,,,,,,,
5/15/21,1621036800,5539391478,May,2021,37970,5.539391478,,,,,,,,,
5/16/21,1621123200,5497699986,May,2021,38919,5.497699986,,,,,,,,,
5/17/21,1621209600,6075138843,May,2021,42967,6.075138843,,,,,,,,,
5/18/21,1621296000,4800693741,May,2021,33201,4.800693741,,,,,,,,,
5/19/21,1621382400,6107379944,May,2021,45798,6.107379944,,,,,,,,,
5/20/21,1621468800,4391960909,May,2021,30093,4.391960909,,,,,,,,,
5/21/21,1621555200,3896101158,May,2021,26659,3.896101158,,,,,,,,,
5/22/21,1621641600,3203037952,May,2021,21138,3.203037952,,,,,,,,,
5/23/21,1621728000,4372546835,May,2021,31358,4.372546835,,,,,,,,,
5/24/21,1621814400,3855962638,May,2021,27424,3.855962638,,,,,,,,,
5/25/21,1621900800,3525323106,May,2021,24008,3.525323106,,,,,,,,,
5/26/21,1621987200,2917199071,May,2021,19253,2.917199071,,,,,,,,,
5/27/21,1622073600,2769939449,May,2021,17068,2.769939449,,,,,,,,,
5/28/21,1622160000,2936452415,May,2021,18801,2.936452415,,,,,,,,,
5/29/21,1622246400,2728296029,May,2021,20417,2.728296029,,,,,,,,,
5/30/21,1622332800,2461251724,May,2021,15742,2.461251724,,,,,,,,,
5/31/21,1622419200,2791460675,May,2021,18147,2.791460675,,,,,,,,,
6/1/21,1622505600,4409448590,June,2021,41936,4.40944859,,,,,,,,,
6/2/21,1622592000,3208346971,June,2021,22680,3.208346971,,,,,,,,,
6/3/21,1622678400,2948277838,June,2021,19950,2.948277838,,,,,,,,,
6/4/21,1622764800,2568031031,June,2021,16740,2.568031031,,,,,,,,,
6/5/21,1622851200,2212774731,June,2021,13231,2.212774731,,,,,,,,,
6/6/21,1622937600,1938086040,June,2021,11699,1.93808604,,,,,,,,,
6/7/21,1623024000,2672544273,June,2021,16760,2.672544273,,,,,,,,,
6/8/21,1623110400,2426438644,June,2021,15318,2.426438644,,,,,,,,,
6/9/21,1623196800,2338980643,June,2021,15043,2.338980643,,,,,,,,,
6/10/21,1623283200,2284442262,June,2021,14377,2.284442262,,,,,,,,,
6/11/21,1623369600,2269229213,June,2021,14073,2.269229213,,,,,,,,,
6/12/21,1623456000,2022537639,June,2021,11668,2.022537639,,,,,,,,,
6/13/21,1623542400,2235088981,June,2021,13797,2.235088981,,,,,,,,,
6/14/21,1623628800,2995629341,June,2021,18871,2.995629341,,,,,,,,,
6/15/21,1623715200,2522747740,June,2021,16171,2.52274774,,,,,,,,,
6/16/21,1623801600,2920120606,June,2021,17053,2.920120606,,,,,,,,,
6/17/21,1623888000,2878865375,June,2021,15773,2.878865375,,,,,,,,,
6/18/21,1623974400,2183495580,June,2021,12031,2.18349558,,,,,,,,,
6/19/21,1624060800,1955253516,June,2021,11076,1.955253516,,,,,,,,,
6/20/21,1624147200,2914244059,June,2021,13357,2.914244059,,,,,,,,,
6/21/21,1624233600,2841693054,June,2021,14760,2.841693054,,,,,,,,,
6/22/21,1624320000,2700560076,June,2021,15754,2.700560076,,,,,,,,,
6/23/21,1624406400,2734437493,June,2021,15662,2.734437493,,,,,,,,,
6/24/21,1624492800,2842192568,June,2021,16287,2.842192568,,,,,,,,,
6/25/21,1624579200,4234995927,June,2021,23287,4.234995927,,,,,,,,,
6/26/21,1624665600,3453605663,June,2021,19345,3.453605663,,,,,,,,,
6/27/21,1624752000,2683573075,June,2021,15217,2.683573075,,,,,,,,,
6/28/21,1624838400,1624103294,June,2021,10211,1.624103294,,,,,,,,,
6/29/21,1624924800,8993977791,June,2021,15125,8.993977791,,,,,,,,,
6/30/21,1625011200,2719338144,June,2021,10941,2.719338144,,,,,,,,,
7/1/21,1625097600,1469189491,July,2021,8753,1.469189491,,,,,,,,,
