dateDayStr,newTransactionSeen,newTrigger,trx_transfer,trc10_transfer,freeze_and_unfreeze_transaction,vote_transaction,other_transaction
2019-04-03,1801937,1573779,140433,71523,7506,5691,3005
2019-04-04,1832307,1620956,108349,90916,4407,4891,2788
2019-04-05,1836535,1584069,113680,127284,3677,5333,2492
2019-04-06,1931229,1712149,105024,102387,3837,5003,2829
2019-04-07,2195436,1985217,101120,96787,4718,5253,2341
2019-04-08,1965309,1761130,103407,87779,4328,5406,3259
2019-04-09,1886175,1727507,91132,54610,3964,5679,3283
2019-04-10,1780373,1617336,103106,45937,4172,5594,4228
2019-04-11,1812393,1520745,108246,168641,3978,5209,5574
2019-04-12,1902363,1742500,100723,45966,3874,5499,3801
2019-04-13,1859203,1712825,92400,42296,3574,5016,3092
2019-04-14,1970524,1800473,107288,50647,3907,5556,2653
2019-04-15,2138047,1982750,95938,47255,3788,5701,2615
2019-04-16,1627469,1447745,94854,73772,3778,5063,2257
2019-04-17,1616266,1445027,92851,66581,4082,5457,2268
2019-04-18,1477789,1305643,96201,62788,4097,6069,2991
2019-04-19,1631415,1386271,140770,92142,3885,5678,2669
2019-04-20,1546627,1360649,84606,89223,3462,5573,3114
2019-04-21,1648074,1477879,89803,69452,3347,5145,2448
2019-04-22,1708121,1522297,111068,59861,3786,5244,5865
2019-04-23,1678164,1475943,109435,75438,3716,5098,8534
2019-04-24,1729641,1560578,92652,58997,3629,5625,8160
2019-04-25,1934026,1708377,90335,116811,3611,5762,9130
2019-04-26,2253091,2056179,96743,85043,3653,5343,6130
2019-04-27,2399839,2169256,100064,116533,3296,5013,5677
2019-04-28,2143786,1941808,87562,98396,3605,5569,6846
2019-04-29,2110537,1911954,99405,82657,3558,6191,6772
2019-04-30,2289177,1933637,117222,98960,3526,131755,4077
2019-05-01,2062992,1827965,116293,103028,3261,5978,6467
2019-05-02,2044327,1870287,89024,72681,3142,5300,3893
2019-05-03,2324192,2171269,91518,49041,3397,5580,3387
