"Date(UTC)","UnixTimeStamp","Value"
"2/21/2021","1613865600","62092317935250249595"
"2/22/2021","1613952000","92021379933761872312"
"2/23/2021","1614038400","79342817149868624831"
"2/24/2021","1614124800","78630924219494548664"
"2/25/2021","1614211200","209625561859637903751"
"2/26/2021","1614297600","300554518790690491564"
"2/27/2021","1614384000","315571902370135131402"
"2/28/2021","1614470400","345331496457148244282"
"3/1/2021","1614556800","470871166813490590363"
"3/2/2021","1614643200","1144310680019133566644"
"3/3/2021","1614729600","610735564256435727838"
"3/4/2021","1614816000","1333420411935683121633"
"3/5/2021","1614902400","465991905626041398449"
"3/6/2021","1614988800","939950364309638424701"
"3/7/2021","1615075200","985455422294254421732"
"3/8/2021","1615161600","859677105378924960964"
"3/9/2021","1615248000","963357455780778583154"
"3/10/2021","1615334400","508165589162632782799"
"3/11/2021","1615420800","774330388522212980705"
"3/12/2021","1615507200","757737039001395085349"
"3/13/2021","1615593600","538296944297040596019"
"3/14/2021","1615680000","694814691229660070727"
"3/15/2021","1615766400","805599735877099880727"
"3/16/2021","1615852800","571542074191551467193"
"3/17/2021","1615939200","453728756300981387773"
"3/18/2021","1616025600","318225929445457435505"
"3/19/2021","1616112000","429663692118115181316"
"3/20/2021","1616198400","433105916941452873252"
"3/21/2021","1616284800","648378582745222896884"
"3/22/2021","1616371200","731738483313810239272"
"3/23/2021","1616457600","372949495271135684950"
"3/24/2021","1616544000","543290000637619570657"
"3/25/2021","1616630400","463029546918492103752"
"3/26/2021","1616716800","305400412546232751771"
"3/27/2021","1616803200","329861717350551254423"
"3/28/2021","1616889600","367106571732160712127"
"3/29/2021","1616976000","553350490419697822219"
"3/30/2021","1617062400","322556146971794666961"
"3/31/2021","1617148800","522426289996034988047"
"4/1/2021","1617235200","490565785357765659099"
"4/2/2021","1617321600","412422158101710036648"
"4/3/2021","1617408000","301151848787351175000"
"4/4/2021","1617494400","336878410640301172589"
"4/5/2021","1617580800","364819903934227164923"
"4/6/2021","1617667200","427144624292206581371"
"4/7/2021","1617753600","602723158179853707709"
"4/8/2021","1617840000","494602391589290710192"
"4/9/2021","1617926400","448307225941729249960"
"4/10/2021","1618012800","288529764911254513273"
"4/11/2021","1618099200","306533030502007223663"
"4/12/2021","1618185600","339293500396498286408"
"4/13/2021","1618272000","395878318718384171206"
"4/14/2021","1618358400","687532427781277812820"
"4/15/2021","1618444800","542730190136039626642"
"4/16/2021","1618531200","369888933952529827280"
"4/17/2021","1618617600","315766359309683768872"
"4/18/2021","1618704000","862191716241666220851"
"4/19/2021","1618790400","907894496493163380725"
"4/20/2021","1618876800","790738126552342325777"
"4/21/2021","1618963200","597430169273573259351"
"4/22/2021","1619049600","850284537805062043917"
"4/23/2021","1619136000","1189004436851689634829"
"4/24/2021","1619222400","597686775222742168670"
"4/25/2021","1619308800","968304370425579818844"
"4/26/2021","1619395200","2047407321449265915827"
"4/27/2021","1619481600","3221703823848472561421"
"4/28/2021","1619568000","2802618239566273467897"
"4/29/2021","1619654400","2056517783480897284631"
"4/30/2021","1619740800","1783238292518815784232"
"5/1/2021","1619827200","2279191737658502591028"
"5/2/2021","1619913600","1688397186834952933541"
"5/3/2021","1620000000","1440356749113350774435"
"5/4/2021","1620086400","1262591478330687757458"
"5/5/2021","1620172800","809863652943551811197"
"5/6/2021","1620259200","847275075389669232362"
"5/7/2021","1620345600","1751613594891894001542"
"5/8/2021","1620432000","996007616128066677093"
"5/9/2021","1620518400","1168388988237734734442"
"5/10/2021","1620604800","1478173078521410756277"
"5/11/2021","1620691200","1122129127681588449881"
"5/12/2021","1620777600","1674445053316791546266"
"5/13/2021","1620864000","1448089393269257963536"
"5/14/2021","1620950400","1770652570413180573962"
"5/15/2021","1621036800","2106956436505368153533"
"5/16/2021","1621123200","1654667559851400902825"
"5/17/2021","1621209600","1620640857249728416389"
"5/18/2021","1621296000","1959824316482890899901"
"5/19/2021","1621382400","3648957917060287990945"
"5/20/2021","1621468800","3055543026256166913511"
"5/21/2021","1621555200","3149281068748241053631"
"5/22/2021","1621641600","2477430563254198999285"
"5/23/2021","1621728000","3692536905193455825202"
"5/24/2021","1621814400","2651383362898796528640"
"5/25/2021","1621900800","1925121907653252495270"
"5/26/2021","1621987200","2367082238241041473156"
"5/27/2021","1622073600","2126519022990460583500"
"5/28/2021","1622160000","2312872589696875599136"
"5/29/2021","1622246400","1667746914849686730621"
"5/30/2021","1622332800","1802332331228628847516"
"5/31/2021","1622419200","1540439560807047646975"
"6/1/2021","1622505600","1520123429605603323530"
"6/2/2021","1622592000","1385333041526067294963"
"6/3/2021","1622678400","1495199227183878408172"
"6/4/2021","1622764800","2285704797029839176786"
"6/5/2021","1622851200","3055815006634279402133"
"6/6/2021","1622937600","2295071108239439341113"
"6/7/2021","1623024000","3230920251615354564577"
"6/8/2021","1623110400","4085909885378370863134"
"6/9/2021","1623196800","4175733585451406489825"
"6/10/2021","1623283200","14877624968304355248687"
"6/11/2021","1623369600","5099900295368673440428"
"6/12/2021","1623456000","3694629899487281926335"
"6/13/2021","1623542400","3916935774022122107181"
"6/14/2021","1623628800","5086651918696217669752"
"6/15/2021","1623715200","5030445668426711316522"
"6/16/2021","1623801600","25854943279576536356176"
"6/17/2021","1623888000","20710389204447805349170"
"6/18/2021","1623974400","8555853293130120122048"
"6/19/2021","1624060800","6938695733947368830622"
"6/20/2021","1624147200","8461679342467209697193"
"6/21/2021","1624233600","14991886887256060755849"
"6/22/2021","1624320000","21865682218480402483114"
"6/23/2021","1624406400","12955808815680928507937"
"6/24/2021","1624492800","10246909371477286247972"
"6/25/2021","1624579200","9930093667602215291584"
"6/26/2021","1624665600","7856453201543154273961"
"6/27/2021","1624752000","7775746424445641890921"
"6/28/2021","1624838400","8645956866655410428707"
"6/29/2021","1624924800","10288286592436480809925"
"6/30/2021","1625011200","11691477954985699638942"
"7/1/2021","1625097600","14974452478485368301548"
"7/2/2021","1625184000","11338884566674208714159"
"7/3/2021","1625270400","9761108657134876742017"
"7/4/2021","1625356800","10182503110599913327796"
"7/5/2021","1625443200","8567665743818749535862"
"7/6/2021","1625529600","11992471153884029822729"
"7/7/2021","1625616000","8907311618651110244822"
"7/8/2021","1625702400","14166743944141279133138"
"7/9/2021","1625788800","19044893476052809520735"
"7/10/2021","1625875200","20196441302060349846243"
"7/11/2021","1625961600","18237919587825822669410"
"7/12/2021","1626048000","41556292485119155666747"
"7/13/2021","1626134400","19251383655044241624106"
"7/14/2021","1626220800","20985810240767730771301"
"7/15/2021","1626307200","17529335333049456602539"
"7/16/2021","1626393600","22854980112293522441660"
"7/17/2021","1626480000","18838802111003120115705"
"7/18/2021","1626566400","22898569905120468025187"
"7/19/2021","1626652800","30350962879541671812174"
"7/20/2021","1626739200","58848399910016102731545"
"7/21/2021","1626825600","20625365276158045503749"
"7/22/2021","1626912000","15109078299235018992603"
"7/23/2021","1626998400","17821145694667572146032"
"7/24/2021","1627084800","11880673928848532974810"
"7/25/2021","1627171200","11522488086416569984337"
"7/26/2021","1627257600","35490647555378861510525"
"7/27/2021","1627344000","16108943657540476036381"
"7/28/2021","1627430400","17697546572170506521392"
"7/29/2021","1627516800","15014355872662466450170"
"7/30/2021","1627603200","16904776251623128102611"
"7/31/2021","1627689600","9924965442491862982380"
"8/1/2021","1627776000","13512996297414896848390"
"8/2/2021","1627862400","10415462745006511557200"
"8/3/2021","1627948800","21340315061898381392963"
"8/4/2021","1628035200","12519334060666034768668"
"8/5/2021","1628121600","22253822935753180024941"
"8/6/2021","1628208000","13286505373263646025456"
"8/7/2021","1628294400","18682165891395775701047"
"8/8/2021","1628380800","21795892798160786139464"
"8/9/2021","1628467200","25990787300843269286366"
"8/10/2021","1628553600","31646721340767969280970"
"8/11/2021","1628640000","34502521764097552993205"
"8/12/2021","1628726400","23289498543593660743984"
"8/13/2021","1628812800","27015063256044889172729"
"8/14/2021","1628899200","17895039137701831974355"
"8/15/2021","1628985600","16851548365732138547010"
"8/16/2021","1629072000","16618167575850211323302"
"8/17/2021","1629158400","20671571938366536703479"
"8/18/2021","1629244800","18541305268822256476798"
"8/19/2021","1629331200","16961905154770736964877"
"8/20/2021","1629417600","23441014224803488029991"
"8/21/2021","1629504000","19837479108996466077803"
"8/22/2021","1629590400","20316626915708390492827"
"8/23/2021","1629676800","28706631567060879588115"
"8/24/2021","1629763200","28950107075821440542940"
"8/25/2021","1629849600","37930145540989128711908"
"8/26/2021","1629936000","35521685016693739986933"
"8/27/2021","1630022400","20137372673909706819810"
"8/28/2021","1630108800","20670315526657437958189"
"8/29/2021","1630195200","21221358215291580920497"
"8/30/2021","1630281600","24223707001613658098935"
"8/31/2021","1630368000","22983776480982193101081"
"9/1/2021","1630454400","23570713703293347867070"
"9/2/2021","1630540800","21938970896555811510584"
"9/3/2021","1630627200","19715312708864986531556"
"9/4/2021","1630713600","18864231491903101555431"
"9/5/2021","1630800000","18008524287053267047474"
"9/6/2021","1630886400","19681817603391252635974"
