Date(UTC),Month,Year,UnixTimeStamp,Transaction Fee (gWei?),BSC Token Transaction Fee,Price,Transaction Fee in USD,,,,
1/14/21,January,2021,1610582400,8.50387E+20,850.3865238,41.86,35597.17988,,,,
1/15/21,January,2021,1610668800,7.53764E+20,753.7638689,40.87,30806.32932,,,,
1/16/21,January,2021,1610755200,6.98752E+20,698.7518049,43.09,30109.21527,,,,
1/17/21,January,2021,1610841600,6.99331E+20,699.3314041,45.91,32106.30476,,,,
1/18/21,January,2021,1610928000,7.03427E+20,703.4270604,45.34,31893.38292,,,,
1/19/21,January,2021,1611014400,7.93524E+20,793.5240368,42.51,33732.70681,,,,
1/20/21,January,2021,1611100800,7.02251E+20,702.2506643,42.6,29915.8783,,,,
1/21/21,January,2021,1611187200,7.98601E+20,798.6011612,38.67,30881.90691,,,,
1/22/21,January,2021,1611273600,8.18702E+20,818.7022411,40.9,33484.92166,,,,
1/23/21,January,2021,1611360000,7.79106E+20,779.1061679,40.9,31865.44227,,,,
1/24/21,January,2021,1611446400,8.25363E+20,825.3629535,41.87,34557.94686,,,,
1/25/21,January,2021,1611532800,9.6175E+20,961.74995,41.76,40162.67791,,,,
1/26/21,January,2021,1611619200,1.22535E+21,1225.346613,41.78,51194.98147,,,,
1/27/21,January,2021,1611705600,1.68346E+21,1683.459417,41.01,69038.67068,,,,
1/28/21,January,2021,1611792000,1.70766E+21,1707.662646,42.61,72763.50535,,,,
1/29/21,January,2021,1611878400,1.40761E+21,1407.614225,42.88,60358.49796,,,,
1/30/21,January,2021,1611964800,1.52765E+21,1527.645438,44.82,68469.06854,,,,
1/31/21,January,2021,1612051200,1.5733E+21,1573.296018,44.38,69822.87729,,,,
2/1/21,February,2021,1612137600,1.77224E+21,1772.240053,51.48,91234.91791,,,,
2/2/21,February,2021,1612224000,1.8442E+21,1844.198277,51.08,94201.64801,,,,
2/3/21,February,2021,1612310400,1.79772E+21,1797.724669,52.22,93877.18222,,,,
2/4/21,February,2021,1612396800,1.84927E+21,1849.271876,56.03,103614.7032,,,,
2/5/21,February,2021,1612483200,2.13561E+21,2135.60662,67.62,144409.7196,,,,
2/6/21,February,2021,1612569600,2.27403E+21,2274.029175,72.92,165822.2074,,,,
2/7/21,February,2021,1612656000,2.19958E+21,2199.575206,68.45,150560.9228,,,,
2/8/21,February,2021,1612742400,2.65691E+21,2656.908439,79.92,212340.1224,,,,
2/9/21,February,2021,1612828800,3.30688E+21,3306.88421,107.67,356052.2229,,,,
2/10/21,February,2021,1612915200,3.45128E+21,3451.283053,128.96,445077.4625,,,,
2/11/21,February,2021,1613001600,2.62629E+21,2626.288072,124.05,325791.0353,,,,
2/12/21,February,2021,1613088000,2.28046E+21,2280.462692,136.9,312195.3426,,,,
2/13/21,February,2021,1613174400,1.96966E+21,1969.662577,133.4,262752.9877,,,,
2/14/21,February,2021,1613260800,2.49653E+21,2496.528594,136.08,339727.611,,,,
2/15/21,February,2021,1613347200,2.86756E+21,2867.556552,129.86,372380.8939,,,,
2/16/21,February,2021,1613433600,3.31005E+21,3310.049583,130.09,430604.3503,,,,
2/17/21,February,2021,1613520000,3.59884E+21,3598.843756,165.54,595752.5954,,,,
2/18/21,February,2021,1613606400,4.12591E+21,4125.913486,195.58,806946.1595,,,,
2/19/21,February,2021,1613692800,5.18158E+21,5181.582663,333.36,1727332.397,,,,
2/20/21,February,2021,1613779200,4.62904E+21,4629.03751,254.4,1177627.143,,,,
2/21/21,February,2021,1613865600,3.72625E+21,3726.246884,294.76,1098348.531,,,,
2/22/21,February,2021,1613952000,4.23885E+21,4238.853219,267.36,1133299.797,,,,
2/23/21,February,2021,1614038400,4.73818E+21,4738.17799,231.78,1098214.895,,,,
2/24/21,February,2021,1614124800,3.95936E+21,3959.360754,254.46,1007498.938,,,,
2/25/21,February,2021,1614211200,3.74225E+21,3742.25249,234.57,877820.1666,,,,
2/26/21,February,2021,1614297600,3.96849E+21,3968.489048,221.71,879853.7069,,,,
2/27/21,February,2021,1614384000,3.54379E+21,3543.793001,225.74,799975.8321,,,,
2/28/21,February,2021,1614470400,3.32736E+21,3327.359276,210.55,700575.4955,,,,
3/1/21,March,2021,1614556800,3.51904E+21,3519.043735,254.93,897109.8194,,,,
3/2/21,March,2021,1614643200,3.31171E+21,3311.708094,239.98,794743.7085,,,,
3/3/21,March,2021,1614729600,2.85989E+21,2859.886733,240.78,688603.5277,,,,
3/4/21,March,2021,1614816000,3.31594E+21,3315.938094,229.68,761604.6614,,,,
3/5/21,March,2021,1614902400,3.03173E+21,3031.725025,225.63,684048.1175,,,,
3/6/21,March,2021,1614988800,2.8133E+21,2813.304714,226.42,636988.4534,,,,
3/7/21,March,2021,1615075200,3.2788E+21,3278.797564,239.94,786714.6875,,,,
3/8/21,March,2021,1615161600,2.98448E+21,2984.477754,240.7,718363.7953,,,,
3/9/21,March,2021,1615248000,3.46263E+21,3462.631627,293.65,1016801.777,,,,
3/10/21,March,2021,1615334400,3.65937E+21,3659.374381,278.68,1019794.453,,,,
3/11/21,March,2021,1615420800,3.95275E+21,3952.751988,290.15,1146890.989,,,,
3/12/21,March,2021,1615507200,3.71482E+21,3714.816989,263.21,977776.9797,,,,
3/13/21,March,2021,1615593600,3.42996E+21,3429.958273,276.04,946805.6817,,,,
3/14/21,March,2021,1615680000,3.76098E+21,3760.984643,263.31,990304.8662,,,,
3/15/21,March,2021,1615766400,4.05139E+21,4051.385899,254.61,1031523.364,,,,
3/16/21,March,2021,1615852800,4.53612E+21,4536.116129,258.5,1172586.019,,,,
3/17/21,March,2021,1615939200,4.01766E+21,4017.660906,269.92,1084447.032,,,,
3/18/21,March,2021,1616025600,4.46002E+21,4460.020026,261.01,1164109.827,,,,
3/19/21,March,2021,1616112000,3.81781E+21,3817.80939,263.13,1004580.185,,,,
3/20/21,March,2021,1616198400,3.3885E+21,3388.503936,264.48,896191.5211,,,,
3/21/21,March,2021,1616284800,3.50531E+21,3505.313937,264.67,927751.4398,,,,
3/22/21,March,2021,1616371200,3.9633E+21,3963.299246,254.95,1010443.143,,,,
3/23/21,March,2021,1616457600,4.17132E+21,4171.315266,255.25,1064728.222,,,,
3/24/21,March,2021,1616544000,4.84234E+21,4842.337771,248.44,1203030.396,,,,
3/25/21,March,2021,1616630400,5.40915E+21,5409.148889,234.14,1266498.121,,,,
3/26/21,March,2021,1616716800,4.64421E+21,4644.210138,255.18,1185109.543,,,,
3/27/21,March,2021,1616803200,4.41263E+21,4412.628969,269.37,1188629.865,,,,
3/28/21,March,2021,1616889600,4.16118E+21,4161.180805,268.7,1118109.282,,,,
3/29/21,March,2021,1616976000,4.45135E+21,4451.347451,275.16,1224832.765,,,,
3/30/21,March,2021,1617062400,4.43512E+21,4435.124822,311.54,1381718.787,,,,
3/31/21,March,2021,1617148800,4.4811E+21,4481.100885,302.49,1355488.207,,,,
4/1/21,April,2021,1617235200,4.47661E+21,4476.613479,334.24,1496263.289,,,,
4/2/21,April,2021,1617321600,5.38299E+21,5382.987323,338.41,1821656.74,,,,
4/3/21,April,2021,1617408000,5.3439E+21,5343.898254,321.9,1720200.848,,,,
4/4/21,April,2021,1617494400,5.30039E+21,5300.389842,349.55,1852751.269,,,,
4/5/21,April,2021,1617580800,6.03129E+21,6031.285456,368.31,2221382.746,,,,
4/6/21,April,2021,1617667200,5.73794E+21,5737.938499,403.06,2312733.492,,,,
4/7/21,April,2021,1617753600,5.00698E+21,5006.981035,375.44,1879820.96,,,,
4/8/21,April,2021,1617840000,4.94109E+21,4941.089214,418.15,2066116.455,,,,
4/9/21,April,2021,1617926400,4.58311E+21,4583.112122,453.23,2077203.907,,,,
4/10/21,April,2021,1618012800,4.29406E+21,4294.059925,471.7,2025508.067,,,,
4/11/21,April,2021,1618099200,3.64948E+21,3649.476519,525.43,1917544.448,,,,
4/12/21,April,2021,1618185600,4.3855E+21,4385.498156,596.96,2617966.979,,,,
4/13/21,April,2021,1618272000,3.58E+21,3580.003638,550.42,1970505.602,,,,
4/14/21,April,2021,1618358400,3.54991E+21,3549.912672,549.17,1949505.542,,,,
4/15/21,April,2021,1618444800,3.61534E+21,3615.336294,542.41,1960994.559,,,,
4/16/21,April,2021,1618531200,3.88783E+21,3887.834711,508.96,1978752.355,,,,
4/17/21,April,2021,1618617600,3.8273E+21,3827.301643,515.4,1972591.267,,,,
4/18/21,April,2021,1618704000,4.3496E+21,4349.603854,481.98,2096422.065,,,,
4/19/21,April,2021,1618790400,5.31038E+21,5310.38135,504.46,2678874.976,,,,
4/20/21,April,2021,1618876800,7.94724E+21,7947.244441,588.55,4677350.716,,,,
4/21/21,April,2021,1618963200,8.83928E+21,8839.277084,543.71,4806003.343,,,,
4/22/21,April,2021,1619049600,6.68667E+21,6686.672601,505.27,3378575.065,,,,
4/23/21,April,2021,1619136000,5.74653E+21,5746.534715,527.13,3029170.844,,,,
4/24/21,April,2021,1619222400,6.07609E+21,6076.088243,496.98,3019694.335,,,,
4/25/21,April,2021,1619308800,5.65626E+21,5656.255707,505.45,2858954.447,,,,
4/26/21,April,2021,1619395200,6.40194E+21,6401.935531,535.13,3425867.761,,,,
4/27/21,April,2021,1619481600,5.97127E+21,5971.270257,569.46,3400399.561,,,,
4/28/21,April,2021,1619568000,5.4967E+21,5496.69783,563.6,3097938.897,,,,
