Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
11/23/20,1606089600,17280,855,5,November,2020,,,,,,,
11/24/20,1606176000,17280,832,5,November,2020,,,,,,,
11/25/20,1606262400,17280,834,5,November,2020,,,,,,,
11/26/20,1606348800,17280,849,5,November,2020,,,,,,,
11/27/20,1606435200,17280,826,5,November,2020,,,,,,,
11/28/20,1606521600,17280,824,5,November,2020,,,,,,,
11/29/20,1606608000,17280,821,5,November,2020,,,,,,,
11/30/20,1606694400,17279,821,5,November,2020,,,,,,,
12/1/20,1606780800,17279,824,5,December,2020,,,,,,,
12/2/20,1606867200,17276,827,5,December,2020,,,,,,,
12/3/20,1606953600,17280,822,5,December,2020,,,,,,,
12/4/20,1607040000,17280,820,5,December,2020,,,,,,,
12/5/20,1607126400,17280,813,5,December,2020,,,,,,,
12/6/20,1607212800,17280,816,5,December,2020,,,,,,,
12/7/20,1607299200,17280,818,5,December,2020,,,,,,,
12/8/20,1607385600,17280,827,5,December,2020,,,,,,,
12/9/20,1607472000,17273,890,5,December,2020,,,,,,,
12/10/20,1607558400,17279,940,5,December,2020,,,,,,,
12/11/20,1607644800,17280,957,5,December,2020,,,,,,,
12/12/20,1607731200,17273,874,5,December,2020,,,,,,,
12/13/20,1607817600,17280,873,5,December,2020,,,,,,,
12/14/20,1607904000,17275,894,5,December,2020,,,,,,,
12/15/20,1607990400,17273,952,5,December,2020,,,,,,,
12/16/20,1608076800,17279,990,5,December,2020,,,,,,,
12/17/20,1608163200,17280,1011,5,December,2020,,,,,,,
12/18/20,1608249600,17280,974,5,December,2020,,,,,,,
12/19/20,1608336000,17279,941,5,December,2020,,,,,,,
12/20/20,1608422400,17274,903,5,December,2020,,,,,,,
12/21/20,1608508800,17280,917,5,December,2020,,,,,,,
12/22/20,1608595200,17276,947,5,December,2020,,,,,,,
12/23/20,1608681600,17270,932,5,December,2020,,,,,,,
12/24/20,1608768000,17280,903,5,December,2020,,,,,,,
12/25/20,1608854400,17278,884,5,December,2020,,,,,,,
12/26/20,1608940800,17279,892,5,December,2020,,,,,,,
12/27/20,1609027200,17280,915,5,December,2020,,,,,,,
12/28/20,1609113600,17279,905,5,December,2020,,,,,,,
12/29/20,1609200000,17269,886,5,December,2020,,,,,,,
12/30/20,1609286400,17278,852,5,December,2020,,,,,,,
12/31/20,1609372800,17280,863,5,December,2020,,,,,,,
1/1/21,1609459200,17280,841,5,January,2021,,,,,,,
1/2/21,1609545600,17280,868,5,January,2021,,,,,,,
1/3/21,1609632000,17280,860,5,January,2021,,,,,,,
1/4/21,1609718400,17280,886,5,January,2021,,,,,,,
1/5/21,1609804800,17280,1179,5,January,2021,,,,,,,
1/6/21,1609891200,17271,1121,5,January,2021,,,,,,,
1/7/21,1609977600,17279,1049,5,January,2021,,,,,,,
1/8/21,1610064000,17278,1005,5,January,2021,,,,,,,
1/9/21,1610150400,17276,981,5,January,2021,,,,,,,
1/10/21,1610236800,17272,901,5,January,2021,,,,,,,
1/11/21,1610323200,17279,1190,5,January,2021,,,,,,,
1/12/21,1610409600,17280,1118,5,January,2021,,,,,,,
1/13/21,1610496000,17273,1365,5,January,2021,,,,,,,
1/14/21,1610582400,17280,1401,5,January,2021,,,,,,,
1/15/21,1610668800,17280,1288,5,January,2021,,,,,,,
1/16/21,1610755200,17280,1072,5,January,2021,,,,,,,
1/17/21,1610841600,17275,1013,5,January,2021,,,,,,,
1/18/21,1610928000,17280,1069,5,January,2021,,,,,,,
1/19/21,1611014400,17280,1055,5,January,2021,,,,,,,
1/20/21,1611100800,17280,1123,5,January,2021,,,,,,,
1/21/21,1611187200,17280,1262,5,January,2021,,,,,,,
1/22/21,1611273600,17280,1139,5,January,2021,,,,,,,
1/23/21,1611360000,17277,976,5,January,2021,,,,,,,
1/24/21,1611446400,17280,940,5,January,2021,,,,,,,
1/25/21,1611532800,17279,1021,5,January,2021,,,,,,,
1/26/21,1611619200,17275,1089,5,January,2021,,,,,,,
1/27/21,1611705600,17280,996,5,January,2021,,,,,,,
1/28/21,1611792000,17279,1035,5,January,2021,,,,,,,
1/29/21,1611878400,17280,962,5,January,2021,,,,,,,
1/30/21,1611964800,17280,1018,5,January,2021,,,,,,,
1/31/21,1612051200,17280,951,5,January,2021,,,,,,,
2/1/21,1612137600,17279,953,5,February,2021,,,,,,,
2/2/21,1612224000,17280,995,5,February,2021,,,,,,,
2/3/21,1612310400,17269,975,5,February,2021,,,,,,,
2/4/21,1612396800,17277,955,5,February,2021,,,,,,,
2/5/21,1612483200,17280,985,5,February,2021,,,,,,,
2/6/21,1612569600,17280,963,5,February,2021,,,,,,,
2/7/21,1612656000,17280,1047,5,February,2021,,,,,,,
2/8/21,1612742400,17280,1049,5,February,2021,,,,,,,
2/9/21,1612828800,17266,1055,5,February,2021,,,,,,,
2/10/21,1612915200,17280,1327,5,February,2021,,,,,,,
2/11/21,1613001600,17280,1223,5,February,2021,,,,,,,
2/12/21,1613088000,17277,1124,5,February,2021,,,,,,,
2/13/21,1613174400,17273,1090,5,February,2021,,,,,,,
2/14/21,1613260800,17280,1014,5,February,2021,,,,,,,
2/15/21,1613347200,17280,1035,5,February,2021,,,,,,,
2/16/21,1613433600,17280,1004,5,February,2021,,,,,,,
2/17/21,1613520000,17280,1160,5,February,2021,,,,,,,
2/18/21,1613606400,17279,1137,5,February,2021,,,,,,,
