Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,,,
6/13/21,1623542400,11060,897,7.81,June,2021,,,,,,,,,
6/14/21,1623628800,12777,1002,6.76,June,2021,,,,,,,,,
6/15/21,1623715200,12148,915,7.11,June,2021,,,,,,,,,
6/16/21,1623801600,12693,949,6.81,June,2021,,,,,,,,,
6/17/21,1623888000,11843,930,7.3,June,2021,,,,,,,,,
6/18/21,1623974400,9899,902,8.73,June,2021,,,,,,,,,
6/19/21,1624060800,9081,871,9.51,June,2021,,,,,,,,,
6/20/21,1624147200,10638,932,8.12,June,2021,,,,,,,,,
6/21/21,1624233600,11841,924,7.3,June,2021,,,,,,,,,
6/22/21,1624320000,12989,952,6.65,June,2021,,,,,,,,,
6/23/21,1624406400,12486,931,6.92,June,2021,,,,,,,,,
6/24/21,1624492800,13041,908,6.63,June,2021,,,,,,,,,
6/25/21,1624579200,18849,931,4.58,June,2021,,,,,,,,,
6/26/21,1624665600,15922,913,5.43,June,2021,,,,,,,,,
6/27/21,1624752000,12645,920,6.83,June,2021,,,,,,,,,
6/28/21,1624838400,8620,884,10.03,June,2021,,,,,,,,,
6/29/21,1624924800,11914,1612,7.25,June,2021,,,,,,,,,
6/30/21,1625011200,9306,921,9.28,June,2021,,,,,,,,,
7/1/21,1625097600,7504,889,11.5,July,2021,,,,,,,,,
7/2/21,1625184000,8684,906,9.96,July,2021,,,,,,,,,
7/3/21,1625270400,13190,986,6.55,July,2021,,,,,,,,,
7/4/21,1625356800,10941,905,7.9,July,2021,,,,,,,,,
7/5/21,1625443200,11233,931,7.69,July,2021,,,,,,,,,
7/6/21,1625529600,12678,918,6.82,July,2021,,,,,,,,,
7/7/21,1625616000,12233,1106,7.06,July,2021,,,,,,,,,
7/8/21,1625702400,11321,982,7.63,July,2021,,,,,,,,,
7/9/21,1625788800,10893,920,7.93,July,2021,,,,,,,,,
7/10/21,1625875200,8148,876,10.6,July,2021,,,,,,,,,
7/11/21,1625961600,8597,885,10.05,July,2021,,,,,,,,,
7/12/21,1626048000,10383,900,8.32,July,2021,,,,,,,,,
7/13/21,1626134400,9460,929,9.13,July,2021,,,,,,,,,
7/14/21,1626220800,10196,951,8.48,July,2021,,,,,,,,,
7/15/21,1626307200,10022,914,8.62,July,2021,,,,,,,,,
7/16/21,1626393600,10917,927,7.91,July,2021,,,,,,,,,
7/17/21,1626480000,8934,913,9.67,July,2021,,,,,,,,,
7/18/21,1626566400,8427,908,10.25,July,2021,,,,,,,,,
7/19/21,1626652800,9273,918,9.32,July,2021,,,,,,,,,
7/20/21,1626739200,9610,964,8.99,July,2021,,,,,,,,,
7/21/21,1626825600,9839,965,8.78,July,2021,,,,,,,,,
7/22/21,1626912000,8687,909,9.94,July,2021,,,,,,,,,
7/23/21,1626998400,8832,941,9.78,July,2021,,,,,,,,,
7/24/21,1627084800,8087,910,10.68,July,2021,,,,,,,,,
7/25/21,1627171200,7878,906,10.97,July,2021,,,,,,,,,
7/26/21,1627257600,12067,982,7.16,July,2021,,,,,,,,,
7/27/21,1627344000,10337,978,8.36,July,2021,,,,,,,,,
7/28/21,1627430400,10816,1016,7.99,July,2021,,,,,,,,,
7/29/21,1627516800,12954,1011,6.67,July,2021,,,,,,,,,
7/30/21,1627603200,10892,1099,7.93,July,2021,,,,,,,,,
7/31/21,1627689600,9026,958,9.57,July,2021,,,,,,,,,
8/1/21,1627776000,10221,951,8.45,August,2021,,,,,,,,,
8/2/21,1627862400,10290,971,8.4,August,2021,,,,,,,,,
8/3/21,1627948800,9998,979,8.64,August,2021,,,,,,,,,
8/4/21,1628035200,8923,1000,9.68,August,2021,,,,,,,,,
8/5/21,1628121600,8751,997,9.87,August,2021,,,,,,,,,
8/6/21,1628208000,9855,1041,8.77,August,2021,,,,,,,,,
8/7/21,1628294400,9095,1011,9.5,August,2021,,,,,,,,,
8/8/21,1628380800,7863,972,10.98,August,2021,,,,,,,,,
8/9/21,1628467200,10355,1007,8.35,August,2021,,,,,,,,,
8/10/21,1628553600,16516,1672,5.23,August,2021,,,,,,,,,
8/11/21,1628640000,15922,1665,5.43,August,2021,,,,,,,,,
8/12/21,1628726400,12821,1290,6.74,August,2021,,,,,,,,,
8/13/21,1628812800,13202,1105,6.55,August,2021,,,,,,,,,
8/14/21,1628899200,10001,1034,8.64,August,2021,,,,,,,,,
8/15/21,1628985600,9693,1024,8.91,August,2021,,,,,,,,,
8/16/21,1629072000,15851,1079,5.45,August,2021,,,,,,,,,
8/17/21,1629158400,21233,1222,4.07,August,2021,,,,,,,,,
8/18/21,1629244800,24919,1235,3.47,August,2021,,,,,,,,,
8/19/21,1629331200,37082,1283,2.33,August,2021,,,,,,,,,
8/20/21,1629417600,38669,1326,2.23,August,2021,,,,,,,,,
8/21/21,1629504000,54819,1628,1.58,August,2021,,,,,,,,,
8/22/21,1629590400,39809,1358,2.17,August,2021,,,,,,,,,
8/23/21,1629676800,48147,1521,1.79,August,2021,,,,,,,,,
8/24/21,1629763200,51037,1648,1.69,August,2021,,,,,,,,,
8/25/21,1629849600,52956,2079,1.63,August,2021,,,,,,,,,
8/26/21,1629936000,51893,1962,1.66,August,2021,,,,,,,,,
8/27/21,1630022400,55120,2105,1.57,August,2021,,,,,,,,,
8/28/21,1630108800,51727,1933,1.67,August,2021,,,,,,,,,
8/29/21,1630195200,49276,1760,1.75,August,2021,,,,,,,,,
8/30/21,1630281600,52186,1706,1.66,August,2021,,,,,,,,,
8/31/21,1630368000,43865,1545,1.97,August,2021,,,,,,,,,
9/1/21,1630454400,45557,1506,1.9,September,2021,,,,,,,,,
9/2/21,1630540800,45632,1687,1.89,September,2021,,,,,,,,,
9/3/21,1630627200,43060,1530,2.01,September,2021,,,,,,,,,
9/4/21,1630713600,38231,1487,2.26,September,2021,,,,,,,,,
9/5/21,1630800000,35788,1415,2.41,September,2021,,,,,,,,,
9/6/21,1630886400,44801,1589,1.93,September,2021,,,,,,,,,
9/7/21,1630972800,49546,1529,1.74,September,2021,,,,,,,,,
9/8/21,1631059200,44525,1567,1.94,September,2021,,,,,,,,,
9/9/21,1631145600,46110,1818,1.87,September,2021,,,,,,,,,
9/10/21,1631232000,54310,1720,1.59,September,2021,,,,,,,,,
9/11/21,1631318400,55156,1804,1.57,September,2021,,,,,,,,,
9/12/21,1631404800,54279,1902,1.59,September,2021,,,,,,,,,
9/13/21,1631491200,51759,1643,1.67,September,2021,,,,,,,,,
9/14/21,1631577600,46670,1616,1.85,September,2021,,,,,,,,,
9/15/21,1631664000,47815,1807,1.81,September,2021,,,,,,,,,
9/16/21,1631750400,50130,1803,1.72,September,2021,,,,,,,,,
9/17/21,1631836800,46247,1704,1.87,September,2021,,,,,,,,,
9/18/21,1631923200,46139,1732,1.87,September,2021,,,,,,,,,
9/19/21,1632009600,44537,1815,1.94,September,2021,,,,,,,,,
9/20/21,1632096000,50966,1856,1.7,September,2021,,,,,,,,,
9/21/21,1632182400,49078,1725,1.76,September,2021,,,,,,,,,
9/22/21,1632268800,44371,1796,1.95,September,2021,,,,,,,,,
9/23/21,1632355200,41145,2282,2.1,September,2021,,,,,,,,,
9/24/21,1632441600,41803,2228,2.07,September,2021,,,,,,,,,
9/25/21,1632528000,41212,1976,2.1,September,2021,,,,,,,,,
9/26/21,1632614400,41296,1832,2.09,September,2021,,,,,,,,,
9/27/21,1632700800,41744,2217,2.07,September,2021,,,,,,,,,
9/28/21,1632787200,41681,1967,2.07,September,2021,,,,,,,,,
9/29/21,1632873600,41599,2061,2.08,September,2021,,,,,,,,,
9/30/21,1632960000,41575,2012,2.08,September,2021,,,,,,,,,
10/1/21,1633046400,42370,2220,2.04,October,2021,,,,,,,,,
10/2/21,1633132800,41952,2587,2.06,October,2021,,,,,,,,,
10/3/21,1633219200,42062,1784,2.05,October,2021,,,,,,,,,
10/4/21,1633305600,42148,2553,2.05,October,2021,,,,,,,,,
10/5/21,1633392000,41870,2853,2.06,October,2021,,,,,,,,,
10/6/21,1633478400,42606,2429,2.03,October,2021,,,,,,,,,
10/7/21,1633564800,42590,2172,2.03,October,2021,,,,,,,,,
10/8/21,1633651200,42409,2360,2.04,October,2021,,,,,,,,,
10/9/21,1633737600,42451,2010,2.04,October,2021,,,,,,,,,
10/10/21,1633824000,42468,2400,2.03,October,2021,,,,,,,,,
10/11/21,1633910400,42259,2480,2.04,October,2021,,,,,,,,,
10/12/21,1633996800,41387,2679,2.09,October,2021,,,,,,,,,
10/13/21,1634083200,42172,2195,2.05,October,2021,,,,,,,,,
10/14/21,1634169600,41404,2002,2.09,October,2021,,,,,,,,,
10/15/21,1634256000,41248,2715,2.09,October,2021,,,,,,,,,
10/16/21,1634342400,41487,2028,2.08,October,2021,,,,,,,,,
10/17/21,1634428800,41392,1855,2.09,October,2021,,,,,,,,,
10/18/21,1634515200,41358,2158,2.09,October,2021,,,,,,,,,
10/19/21,1634601600,41517,2035,2.08,October,2021,,,,,,,,,
